#wvn cm-1        wvl um           modulation
2971.14449       3.36570639       0.0154838365      
2971.34449       3.36547985       0.015379563       
2971.54449       3.36525333       0.0156765699      
2971.74449       3.36502685       0.0158765351      
2971.94449       3.3648004        0.0156432534      
2972.14449       3.36457397       0.0158428291      
2972.34449       3.36434758       0.0157599504      
2972.54449       3.36412122       0.0156040096      
2972.74449       3.36389489       0.0155374449      
2972.94449       3.36366859       0.0156083301      
2973.14449       3.36344232       0.0156581927      
2973.34449       3.36321608       0.0160408689      
2973.54449       3.36298987       0.0154539959      
2973.74449       3.36276369       0.015851842       
2973.94449       3.36253754       0.0158731009      
2974.14449       3.36231143       0.0156441417      
2974.34449       3.36208534       0.0153899464      
2974.54449       3.36185928       0.0159469303      
2974.74449       3.36163325       0.0159859263      
2974.94449       3.36140726       0.0159301723      
2975.14449       3.36118129       0.0161493216      
2975.34449       3.36095536       0.0160373468      
2975.54449       3.36072945       0.0159501548      
2975.74449       3.36050358       0.0153663969      
2975.94449       3.36027773       0.0154075715      
2976.14449       3.36005192       0.0156777137      
2976.34449       3.35982613       0.0154120861      
2976.54449       3.35960038       0.0155308346      
2976.74449       3.35937466       0.0154703383      
2976.94449       3.35914896       0.0155001247      
2977.14449       3.3589233        0.0155614213      
2977.34449       3.35869767       0.0155336543      
2977.54449       3.35847207       0.0156082273      
2977.74449       3.3582465        0.0159920184      
2977.94449       3.35802096       0.0159744515      
2978.14449       3.35779544       0.0159749852      
2978.34449       3.35756996       0.0157604899      
2978.54449       3.35734451       0.0156521659      
2978.74449       3.35711909       0.0155038997      
2978.94449       3.3568937        0.0158983947      
2979.14449       3.35666834       0.0159800061      
2979.34449       3.35644301       0.0156140348      
2979.54449       3.35621772       0.015571728       
2979.74449       3.35599245       0.0158861886      
2979.94449       3.35576721       0.0158818314      
2980.14449       3.355542         0.015421534       
2980.34449       3.35531682       0.0160653252      
2980.54449       3.35509167       0.0160002803      
2980.74449       3.35486656       0.0159516871      
2980.94449       3.35464147       0.0158157749      
2981.14449       3.35441641       0.0160180217      
2981.34449       3.35419138       0.0160809411      
2981.54449       3.35396639       0.015884947       
2981.74449       3.35374142       0.0158174918      
2981.94449       3.35351648       0.0155835924      
2982.14449       3.35329158       0.0157046749      
2982.34449       3.3530667        0.015513774       
2982.54449       3.35284186       0.0159371852      
2982.74449       3.35261704       0.015811516       
2982.94449       3.35239225       0.0153523162      
2983.14449       3.3521675        0.0158326385      
2983.34449       3.35194277       0.015955668       
2983.54449       3.35171808       0.0154088202      
2983.74449       3.35149341       0.015656905       
2983.94449       3.35126878       0.0153766584      
2984.14449       3.35104417       0.0158335481      
2984.34449       3.3508196        0.0158057749      
2984.54449       3.35059505       0.0157457967      
2984.74449       3.35037054       0.0157387901      
2984.94449       3.35014605       0.0154098058      
2985.14449       3.3499216        0.015428532       
2985.34449       3.34969717       0.0156841442      
2985.54449       3.34947278       0.0155146835      
2985.74449       3.34924841       0.0155374695      
2985.94449       3.34902408       0.0155428549      
2986.14449       3.34879978       0.0154133882      
2986.34449       3.3485755        0.0157632632      
2986.54449       3.34835126       0.0154773098      
2986.74449       3.34812704       0.0155165703      
2986.94449       3.34790286       0.0154452333      
2987.14449       3.34767871       0.0157658749      
2987.34449       3.34745458       0.0158394206      
2987.54449       3.34723049       0.0160058401      
2987.74449       3.34700642       0.0160426295      
2987.94449       3.34678239       0.0154298141      
2988.14449       3.34655839       0.0158293728      
2988.34449       3.34633441       0.0161161028      
2988.54449       3.34611047       0.0156862036      
2988.74449       3.34588655       0.0159691538      
2988.94449       3.34566267       0.0155935659      
2989.14449       3.34543882       0.0158075656      
2989.34449       3.34521499       0.0155175806      
2989.54449       3.3449912        0.0155105314      
2989.74449       3.34476743       0.0160308544      
2989.94449       3.3445437        0.0159702773      
2990.14449       3.34431999       0.0155551063      
2990.34449       3.34409632       0.0154333611      
2990.54449       3.34387267       0.0156419533      
2990.74449       3.34364906       0.0157858421      
2990.94449       3.34342547       0.0158436001      
2991.14449       3.34320192       0.0156858356      
2991.34449       3.34297839       0.0159201713      
2991.54449       3.3427549        0.01558151        
2991.74449       3.34253143       0.0153667285      
2991.94449       3.342308         0.0158840027      
2992.14449       3.34208459       0.0159256355      
2992.34449       3.34186122       0.0157912556      
2992.54449       3.34163787       0.0155727621      
2992.74449       3.34141456       0.0160769156      
2992.94449       3.34119127       0.0153884832      
2993.14449       3.34096801       0.0156827894      
2993.34449       3.34074479       0.0156324698      
2993.54449       3.34052159       0.0154592434      
2993.74449       3.34029842       0.0159987763      
2993.94449       3.34007529       0.0159935851      
2994.14449       3.33985218       0.0158833158      
2994.34449       3.3396291        0.0155257099      
2994.54449       3.33940605       0.0161590729      
2994.74449       3.33918304       0.0157300118      
2994.94449       3.33896005       0.0160261503      
2995.14449       3.33873709       0.0154709611      
2995.34449       3.33851416       0.015811978       
2995.54449       3.33829126       0.0160510026      
2995.74449       3.33806839       0.0158785882      
2995.94449       3.33784556       0.0155711313      
2996.14449       3.33762275       0.0154219725      
2996.34449       3.33739997       0.0157857328      
2996.54449       3.33717722       0.0158062901      
2996.74449       3.3369545        0.0155793         
